model,a,b,d,bic,task_id,slope,intercept,c
linear,,,,-48.13785390183915,193,0.5557131741928214,-0.019382241661795918,
linear,,,,-52.893184049705525,199,0.4116412486328202,0.17589508375017437,
periodic,0.3504822289621286,3.1244996333924764,0.04149945059374269,-32.32223230382675,200,,,
linear,,,,-29.195010446743364,203,0.5698497266276827,-0.17310311375713217,
linear,,,,-48.09739769490984,216,0.2235851452316856,-0.15166199931818092,
linear,,,,-55.591135333273556,239,0.4636532487836901,-0.046406883572931656,
linear,,,,-58.72080089995556,240,0.6686634983832593,0.05246943801558135,
linear,,,,-56.25247780254711,245,0.4743248305906388,-0.0065834456211979475,
linear,,,,-140.65578402226055,249,2.730792856523495,1.731710998006193,
linear,,,,-129.72001498413078,252,1.0838144218405696,0.10620750265558154,
linear,,,,-117.9526616360605,255,1.1580424479743856,0.1082318132089728,
linear,,,,-102.73481136555783,257,1.190920971846134,0.18981908140401482,
linear,,,,-131.13301028774896,267,0.031131315498538346,-0.9699093517652831,
linear,,,,-162.56117031759914,269,0.01474404772949367,-0.9825637668537008,
quadratic,-0.006693188079320844,0.00013513437497458813,,-268.64552794906473,271,,,-0.9929436011653487
linear,,,,-163.45394873497864,292,-0.0011411500284799203,-0.9840092952003079,
linear,,,,-178.20464131541067,293,-0.004385755264181945,-0.9901420782538279,
linear,,,,-221.02768809812875,294,0.010835044388719524,-0.9909836077644785,
linear,,,,-231.6032845316041,295,0.005413365894816098,-0.994512084575448,
linear,,,,-247.81295642262006,301,0.000731557341904332,-0.9957709132759796,
linear,,,,-260.43853726221846,306,0.005524706499059265,-0.9933994572481905,
linear,,,,-210.295135237691,319,0.0073171356773251706,-0.9901543111576738,
periodic,0.06441592066380153,-3.7673841861394455,-0.959341931224941,-112.76105712683074,329,,,
linear,,,,-261.8605724761778,332,0.003314135437741268,-0.9963792814676721,
linear,,,,-186.61742935945978,333,0.0035194480407602377,-0.9898761686483892,
linear,,,,-217.0606746317795,345,-0.00116120249943652,-0.9929219737869501,
linear,,,,-219.28875088473603,372,0.010884339663484096,-0.9911279719285242,
linear,,,,-209.1868103256601,373,0.005397438206000409,-0.992360553122639,
linear,,,,-189.28796823158132,382,-0.009148452987759015,-0.9974037217193483,
linear,,,,-196.85864366163216,385,0.00903307791964758,-0.9909842954228436,
linear,,,,-247.3278972043456,388,0.0009494708138420602,-0.9975044143363998,
linear,,,,-147.4874842552733,392,0.017380521579238962,-0.9885665182368347,
quadratic,-0.013750009034257032,-0.0031851038282857537,,-236.8515322694374,395,,,-0.9907223249226002
linear,,,,-210.2798549912125,400,0.014011717794406516,-0.9852019221884083,
periodic,-0.015946799418321563,-3.3873506409683416,-0.9853822794310689,-180.94543283401626,404,,,
linear,,,,-144.81010881537622,416,0.022053464374008857,-0.9795385437739803,
periodic,-0.0016518081799536336,-5.008020889421248,-0.9986116688097759,-284.47722967514295,421,,,
linear,,,,-176.51233230637138,422,0.00689740702757371,-0.9890430307021423,
linear,,,,-240.55555111972413,424,-0.0007744955190749359,-0.9964492514111354,
linear,,,,-221.90092261337168,431,0.00016973268079989445,-0.9932042768664067,
linear,,,,-248.3809131853279,447,0.0006972244985093967,-0.9947058181538155,
linear,,,,-140.85971536493736,458,0.03166525473176923,-0.9746290664790008,
periodic,-0.017986588032614468,-3.2615992387520465,-0.9867709486511091,-185.63037099286333,467,,,
linear,,,,-221.1368243228147,480,0.010051429871361735,-0.991892872522082,
